kategori,median_harga_kategori,mean_harga_kategori,std_harga_kategori,q25_harga_kategori,q75_harga_kategori,total_popularity,avg_popularity,total_terjual,avg_rating,jumlah_produk,median_harga
Aksesoris & Souvenir,25000.0,31290.12,30272.56904680099,6900.0,37000.0,563.9855,22.55942,4438,4.884,25,25000.0
Makanan,38000.0,41850.1875,24645.908413393594,24500.0,53000.0,9437.4422,22.686159134615384,96281,4.816346153846154,416,38000.0
Minuman,38500.0,47197.26315789474,31286.448586000584,25999.5,59995.0,4062.6392,23.75812397660819,42652,4.889473684210526,171,38500.0
Pakaian & Fashion,55000.0,63959.66265060241,26732.289047819348,45000.0,81000.0,5158.4293,12.429950120481926,9193,4.948192771084337,415,55000.0
